场号,群号,,标识,,,备注/留言,,,,,,,,如果你的场有图片之类的资源请放在这里,,,,,,,
1,1043668434,,公主连结JJC1号场（4.30重置）,,,,,,,,,,,,,,,,,,
2,1044628414,,公主连结2号场 4.30,,,欢迎来玩,,,,,,,,,,,,,,,
3,1044549675,,4.30场号3,,,欢迎欢迎,,,,,,,,,,,,,,,
4,1044580541,,公主连结JJC4号场（4.30重置）,,,欢迎大家进群一起闲聊！新的开始~,,,,,,,,,,,,,,,
5,649379049,,公主连结2025.04.30jjc5号场,,,欢迎大家来玩,,,,,,,,,,,,,,,
6,1040609423,,公主连结JJC6号场,,,,,,,,,,,,,,,,,,
7,1044617487,,公主连结jjc7号场（2025/4/30）,,,真的没群吗，那我建一个。欢迎各位大佬~,,,,,,,,,,,,,,,
8,1047549749,,公主连结b服4月30日8号JJC群,,,建群3小时就三十多人了，人最多的场。,,,,,,,,,,,,,,,
9,632046181,,JJC重置9场（25/4/30),,,大家进来玩啊,,,,,,,,,,,,,,,
10,854059508,,JJC 25.4.30重置 10场,,,,,,,,,,,,,,,,,,
11,1025298718,,11场,,,,,,,,,,,,,,,,,,
12,1047588005,,12场,,,啊？可可萝不知道啊,,,,,,,,,,,,,,,
13,1044585721,,JJC13场,,,欢迎大佬萌新来玩,,,,,,,,,,,,,,,
14,600244752,,jjc14场,,,,,,,,,,,,,,,,,,
15,633243440,,jjc15场,,,聊天吹水群，欢迎各位小伙伴来玩呀,,,,,,,,,,,,,,,
16,1038421453,,公主连接jjc16场（25.4.30）,,,,,,,,,,,,,,,,,,
17,1047583201,,JJC17号场 25.04.30 ,,,,,,,,,,,,,,,,,,
18,852402060,,jjc18场,,,,,,,,,,,,,,,,,,
19,1047582644,,"公主连结19场jjc群（25.04.30）公主连结19场jjc群（25.04.30）",,,聊天吹水,,,,,,,,,,,,,,,
20,1044604415,,jjc场20群   （25.4.30）,,,,,,,,,,,,,,,,,,
21,852910218,,公主连结21号JJC,,,欢迎各位大佬,,,,,,,,,,,,,,,
22,1039830286,,公主连结22号JJC场群,,,各凭本事,,,,,,,,,,,,,,,
23,1047561830,,公主连结23场JJC群（25年4月30日）,,,入群答案：镜华,,,,,,,,,,,,,,,
24,963130724,,430jjc24场,,,,,,,,,,,,,,,,,,
25,1017327477,,25场，欢迎来玩,,,,,,,,,,,,,,,,,,
26,1044605450,,26,,,,,,,,,,,,,,,,,,
27,1047600673,,jjc27场，祝各位和谐愉快,,,,,,,,,,,,,,,,,,
28,745088746,,28场怎么个个懒狗不建群的,,,,,,,,,,,,,,,,,,
29,1047594260,,430jjc重置29场（猫猫头头像,,,,,,,,,,,,,,,,,,
30,779828440,,30场（4.30）,,,,,,,,,,,,,,,,,,
31,661609543,,31场，4.30分组,,,和谐游戏,,,,,,,,,,,,,,,
32,765466975,,430jjc重置32场（水流夏头像,,,,,,,,,,,,,,,,,,
33,2157046355,,公主连结33场jjc群 4.30,,,33场已经两个小时没建群了,,,,,,,,,,,,,,,
34,1026861049,,公主连结34场jjc群,,,,,,,,,,,,,,,,,,
35,1044510767,,公主连结35场jjc群,,,和谐游戏,,,,,,,,,,,,,,,
36,1044590654,,新36群,,,老艾莉娜,,,,,,,,,,,,,,,
37,1047584467,,公主连结37场jjc群,,,欢迎各位大佬～b站李老师の击剑官,,,,,,,,,,,,,,,
38,1047607952,,公主连接4.30 38号竞技场,,,欢迎欢迎，一起躺平\(  ͯω  ͯ)/,,,,,,,,,,,,,,,
39,1047592389,,2025jjc39场,,,欢迎各位大佬,,,,,,,,,,,,,,,
40,1047609940,,PCR4.30重置JJC交流群,,,,,,,,,,,,,,,,,,
41,951127295,,41,,,,,,,,,,,,,,,,,,
42,282960481,,42ktv公主交流群,,,,,,,,,,,,,,,,,,
43,1047626565,,43的人呢,,,哥 43没群嘛,,,,,,,,,,,,,,,
44,837318034,,44场群,,,都不想击剑的话我们就来一起摸轴吧,,,,,,,,,,,,,,,
45,1044592430,,公主连结jjc45场2025.4.30,,,快来呀,,,,,,,,,,,,,,,
46,1044625260,,没人建那我建25年新场,,,来躺,,,,,,,,,,,,,,,
47,1043765713,,25年4.30竞技场47场,,,来人吹水啊,,,,,,,,,,,,,,,
48,1047594535,,公主连结48场jjc群,,,,,,,,,,,,,,,,,,
49,19965687,,公主连结jjc49场2025.4.30,,,,,,,,,,,,,,,,,,
50,1032380809,,公主连结2025.4.30JJC50场,,,镜华工具箱聊天群835378155（2024.04.30老50场群）,,,,,,,,,,,,,,,
51,1041859732,,"25年新场群",,,,,,,,,,,,,,,,,,
52,1047597152,,没人建群吗Ciallo～(∠・ω< )⌒☆,,,,,,,,,,,,,,,,,,
53,708135187,,53场群（2025-04-30）,,,,,,,,,,,,,,,,,,
54,1044617132,,pcr4月30号jjc54场,,,,,,,,,,,,,,,,,,
55,1047588022,,4.30jjc55号场,,,,,,,,,,,,,,,,,,
56,1043402519,,4.30jjc，56号场次,,,欢迎,,,,,,,,,,,,,,
57,763362523,,公主连结竞技场第57场,,,吹水群,,,,,,,,,,,,,,,
58,1040127257,,25.4.30新58号竞技场群,,,小哥，我建了个群(现在可以搜到了ww),,,,,,,,,,,,,,,
59,1044599065,,4.30 JJC.59,,,摸鱼,,,,,,,,,,,,,,,
60,1047578071,,60场,,,,,,,,,,,,,,,,,,
61,1009479110,,61号场,,,61号场,,,,,,,,,,,,,,,
62,942941643,,62场,,,老群新用,,,,,,,,,,,,,,,
63,782235117,,4.30jjc63场,,,欢迎各位宝宝们一起来交流,,,,,,,,,,,,,,,
64,538372723,,4. 30jjc64场交流群,,,,,,,,,,,,,,,,,,
65,939143998,,新老JJC交友群,,,免费监控，一起守护绿色环境,,,,,,,,,,,,,,,
66,641650352,,4.30 jjc 66场次交友群,,,,,,,,,,,,,,,,,,
67,1047583428,,430 jjc67场,,,,,,,,,,,,,,,,,,
68,1043776418,,68的兄弟来个群呗,,,,,,,,,,,,,,,,,,
69,1044599128,,兄弟萌快进来玩啊,,,,,,,,,,,,,,,,,,
70,926929723,,多来点人群主请机器人,,,,,,,,,,,,,,,,,,
71,1044601420,,公主连结71场,,,,,,,,,,,,,,,,,,
72,212814914,,可以了,,,,,,,,,,,,,,,,,,
73,456485437,,4.30jjc73场交流群,,,,,,,,,,,,,,,,,,
74,1044601579,,公主连结430jjc74群,,,快乐游戏友好交流，刚创好刷新一下,,,,,,,,,,,,,,,
75,1044589679,,本群已登记在花舞bot 请加此群,,,快乐游戏友好交流，刚创好刷新一下,,,,,,,,,,,,,,,
76,60673695,,76场 4.30号,,,,,,,,,,,,,,,,,,
77,1044606364,,我来当hero,,,2025.4.30号 新重置 jjc77场交流群,,,,,,,,,,,,,,,
78,1047609650,,78场,,,快来人捏~,,,,,,,,,,,,,,,
79,970421996,,25.4.30  79场群,,,,,,,,,,,,,,,,,,
80,465826333,,PCR 80场JJC新群（2025.4.30）,,,25年4月重置新jjc群喵，群主时不时发涩图喵，友好占位击剑喵~,,,,,,,,,,,,,,,
81,981818631,,81人捏,,,,,,,,,,,,,,,,,,
82,1047588278,,25年4月30日82场,,,友好交流快乐游戏！群里有bot捏,,,,,,,,,,,,,,,
83,1044596904,,25年4月30重置85场,,,"快乐游戏友好交流速来玩快乐游戏友好交流速来玩",,,,,,,,,,,,,,,
84,782219194,,25年4月30日84场群,,,没找到群建了一个，快来玩！,,,,,,,,,,,,,,,
85,1047585989,,85,,,群主转让ing，欢迎来玩！,,,,,,,,,,,,,,,
86,963224822,,86号竞技场,,,,,,,,,,,,,,,,,,
87,1044723290,,20250430竞技场87场,,,,,,,,,,,,,,,,,,
88,1047595252,,88场没人建群嘛,,,建了建了,,,,,,,,,,,,,,,
89,1040613448,,30/04/2025 89 jjc,,,,,,,,,,,,,,,,,,
90,1044593978,,90号竞技场,,,没人建就建了一个。,,,,,,,,,,,,,,,
91,1047656230,,JJC91场群（2025.4.30）,,,,,,,,,,,,,,,,,,
92,1044596650,,25年4月30日92场群 ,,,,,,,,,,,,,,,,,,
93,548334897,,93,,,,,,,,,,,,,,,,,,
94,1047571520,,25年4月30日94场群,,,1145141919810,,,,,,,,,,,,,,,
95,1047607701,,25年4月30日95场群,,,,,,,,,,,,,,,,,,
96,780819275,,25年4月30日96群，竞技场的。,,,没人建就建了一个。,,,,,,,,,,,,,,,
97,1044627262,,公主连结JJC97（4.30）,,,没人建就建了一个，欢迎来玩,,,,,,,,,,,,,,,
98,927728187,,jjc25.4.30重置98场,,,没人建就建了一个，欢迎来玩,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,
100,305610634,,jjc25.4.30重置100场,,,欢迎,,,,,,,,,,,,,,,
101,1047591428,,jjc25.4.30重置101场,,,,,,,,,,,,,,,,,,
102,1039081242,,jjc25.4.30重置102场,,,群聊在哪里喵    235个场次，唯独1/4没群的102的我们大家,,,,,,,,,,,,,,,
103,1047587555,,25年jjc103场,,,欢迎各位老玩家来玩,,,,,,,,,,,,,,,
104,963051094,,4.30号竞技场 104场,,,,,,,,,,,,,,,,,,
105,670095684,,4.30号竞技场 105场,,,没人建就建了一个，欢迎来玩,,,,,,,,,,,,,,,
106,1040959393,,106,,,看看有人没,,,,,,,,,,,,,,,
107,1047595031,,4.30竞技场 107场,,,欢迎大家进来玩～,,,,,,,,,,,,,,,
108,460502159,,公主连结竞技场108（250430）,,,有没有大佬建一个 91的19先生,,,,,,,,,,,,,,,
109,392252491,,4.30竞技场群号 109场,,,,,,,,,,,,,,,,,,
110,1040418892,,已建，欢迎来玩,,,还没有大佬建立一个吗,,,,,,,,,,,,,,,
111,793477096,,111,,,,,,,,,,,,,,,,,,
112,1044607726,,4.30号竞技场 112场,,,,,,,,,,,,,,,,,,
113,913233525,,jjc25.4.30重置113场,,,有没有大佬建一个,,,,,,,,,,,,,,,
114,1043842708,,114,,,,,,,,,,,,,,,,,,
115,1047586675,,25年4月30日115场群,,,,,,,,,,,,,,,,,,
116,855746815,,25年4月30日116场群,,,随便进，自动通过，前排还有位置,,,,,,,,,,,,,,,
117,1047525408,,25年4月30日117场群,,,怎么没有人啊。这游戏真要凉了，呜呜呜呜,,,,,,,,,,,,,,,
118,1047578704,,25年4月30日118场群,,,,,,,,,,,,,,,,,,
119,958456393,,26年4月30日119场群,,,各凭本事，点击链接加入群聊【119竞技场群】：https://qm.qq.com/q/OCrx3IHsiG,,,,,,,,,,,,,,,
120,1044601693,,25年4月30日120场群,,,,,,,,,,,,,,,,,,
121,1044675290,,25年4月30日121场群	,,,有人吗 有没有HXD建一个,,,,,,,,,,,,,,,
122,1047590615,,25.4.30jjc122群,,,,,,,,,,,,,,,,,,
123,1044610911,,25.4JJC123,,,,,,,,,,,,,,,,,,
124,569979529,,124,,,,,,,,,,,,,,,,,,
125,979899399,,25.4.30jjc125群,,,没人建就建了一个，欢迎来玩，<-已经建过群里，当时字体设的小,,,,,,,,,,,,,,,
126,1047619649,,2025.04.30新群,,,有没有大佬建一个,,,,,,,,,,,,,,,
127,670332640,,25.4.30新群,,,,,,,,,,,,,,,,,,
128,1047579943,,128,,,没有彦祖进群吗           （隔壁也有一个群）,,,,,,,,,,,,,,,
129,1043656690,,4.30 129jjc新群,,,,,,,,,,,,,,,,,,
130,963119024,,JJC130场,,,换一下群哦，群在另一个文档先建了,,,,,,,,,,,,,,,
131,1044596668,,25年新场群,,,欢迎大家进来玩~,,,,,,,,,,,,,,,
132,1047596322,,4.30jjc,,,没人吗没人吗,,,,,,,,,,,,,,,
133,1044603337,,25.4.30 JJC133,,,友好玩，聊天群,,,,,,,,,,,,,,,
134,477492714,,真没人建群？我来,,,,,,,,,,,,,,,,,,
135,1047586837,,135场,,,可以搜了,,,,,,,,,,,,,,,
136,1047589873,,136场,,,欢迎大家进来玩,,,,,,,,,,,,,,,
137,1047584244,,137没人建吗,,,要不你来吧（）,,,,,,,,,,,,,,,
138,1043287812,,138场,,,点击左侧群号直接加群（最速度）,,,,,,,,,,,,,,,
139,879806967,,139,,,,,,,,,,,,,,,,,,
140,1043381493,,有人建群吗,,,,,,,,,,,,,,,,,,
141,1044611167,,没人建群咱来一个吧，141场,,,,,,,,,,,,,,,,,,
142,1047636881,,25年430号j场,,,可以搜了,,,,,,,,,,,,,,,
143,974516184,,4.30 143欢迎友好交流,,,,,,,,,,,,,,,,,,
144,726958682,,144,,,想建群但是在外面玩，重任交于别人了（）,,,,,,,,,,,,,,,
145,1041612000,,欢迎交流,,,,,,,,,,,,,,,,,,
146,1047596295,,4.30 146JJC群,,,群已建，左侧加群无需验证,,,,,,,,,,,,,,,
147,1047523552,,147,,,,,,,,,,,,,,,,,,
148,1047594914,,4.30   148竞技场,,,欢迎聊天进来玩,,,,,,,,,,,,,,,
149,1044607978,,25.4.30 149竞技场,,,没人建就建了一个，欢迎来玩,,,,,,,,,,,,,,,
150,951053112,,竞技场150场,,,通通曹寺！,,,,,,,,,,,,,,,
151,837739792,,竞技场151场,,,,,,,,,,,,,,,,,,
152,1044583455,,新152场欢迎大家）,,,,,,,,,,,,,,,,,,
153,1038694524,,国服PCR4月30日JJC153场,,,柚子批,,,,,,,,,,,,,,,
154,1044071220,,重置154场,,,,,,,,,,,,,,,,,,
155,1044605437,,吉吉西155场,,,欢迎光临,,,,,,,,,,,,,,,
156,1044625163,,来个群号兄弟们,,,,,,,,,,,,,,,,,,
157,1044617066,,新157J场群,,,和谐相处，能打架别嘴炮,,,,,,,,,,,,,,,
158,1047638019,,来个群号！,,,有人吗,,,,,,,,,,,,,,,
159,1044603358,,新159场 欢迎大家摸鱼~,,,,,,,,,,,,,,,,,,
160,951913099,,160-,,,摸了~,,,,,,,,,,,,,,,
161,511453569,,JJC161场（4.30重置后）,,, 群呢群呢 /没有找个人开头建一下发群号啊,,,,,,,,,,,,,,,
162,1047583826,,国服PCR4月30日JJC162场,,,随便进，欢迎击剑 随机更新攻略,,,,,,,,,,,,,,,
163,432532431,,国服PCR4月30日JJC163场,,,没人的话我整一个,,,,,,,,,,,,,,,
164,970441611,,国服pcr4.30jjc164,,,欢迎,,,,,,,,,,,,,,,
165,1047590485,,国服PCR4月30日JJC165场,,,,,,,,,,,,,,,,,,
166,729873608,,国服PCR4月30日JJC166场,,,聊天吹水,,,,,,,,,,,,,,,
167,1043950548,,167,,,,,,,,,,,,,,,,,,
168,1019815512,,168,,,,,,,,,,,,,,,,,,
169,774588760,,jjc169场 2025.04.30重置,,,改好了 可以进了,,,,,,,,,,,,,,,
170,782290645,,170,,,,,,,,,,,,,,,,,,
171,223688026,,jjc171场,,,没人的话我整一个,,,,,,,,,,,,,,,
172,974659481,,jjc172场 2025.4.30重置,,,欢迎大家进群水群，击剑交流,,,,,,,,,,,,,,,
173,212038652,,25.4.30jjc173场次,,,祝各位击剑和挖矿顺利,,,,,,,,,,,,,,,
174,1020165481,,174,,,,,,,,,,,,,,,,,,
175,1044517337,,25.4.30 jjc175场,,,,,,,,,,,,,,,,,,
